cont_id,total_txns,gender,age_years,highest_edu,annual_invest,annual_income,activity_level,churn,record_id,total_txn_amount,avg_txn_amount,avg_daily_txns
1009530316,1,50.21,1,0,31923,4,0,1009530316,13055.44,0.8657534,316,41.314682
1009533477,1,50.45,4,14580,54765,3,0,1009533477,9412.17,0.68767124,251,37.498684
1009535122,1,24.5,1,0,22318,2,0,1009535122,6235.06,0.52328765,191,32.644295
1009525824,0,34.2,4,7088,38005,0,1,1009525824,16820.06,0.6547945,239,70.37682
1009525857,1,57.32,2,11331,40597,3,0,1009525857,15960.19,0.5178082,189,84.44545
1009525914,0,68.03,4,0,20934,5,0,1009525914,8807.64,0.6520548,238,37.00689
1009532110,1,39.81,1,0,15442,4,0,1009532110,17879.24,1.3260274,484,36.94058
1009532981,0,45.12,1,0,29792,1,1,1009532981,4318.39,0.26575342,97,44.519485
1009533273,1,43.71,3,117528,132410,3,0,1009533273,7713.39,0.62739724,229,33.682926
1009535323,1,67.33,1,0,21103,0,0,1009535323,11928.65,0.509589,186,64.13253
1009550400,0,74.09,3,96792,199469,5,0,1009550400,40688.1,0.80547947,294,138.3949
1009532988,1,20.17,1,0,17877,0,1,1009532988,9224.41,0.6246575,228,40.45794
1009533393,0,47.56,1,0,22293,0,1,1009533393,1316.8,0.05479452,20,65.84
1009530628,0,59.38,4,0,28380,2,0,1009530628,17647.76,1.4027398,512,34.46828
1009532978,0,49.66,1,0,21812,2,0,1009532978,1063.26,0.06849315,25,42.5304
1009533495,0,58.94,1,0,19259,0,0,1009533495,18546.37,0.6356164,232,79.94125
1009535344,1,43.6,1,0,18336,5,0,1009535344,749.49,0.06027397,22,34.067726
1009527976,0,24.14,1,0,13478,4,1,1009527976,15745.84,1.369863,500,31.49168
1009534897,0,59.9,4,0,26475,1,1,1009534897,9276.88,0.6410959,234,39.644787
1009535218,1,37.54,4,11511,22064,3,0,1009535218,17227.55,0.7013699,256,67.29512
1009529146,1,79.13,1,0,16444,2,0,1009529146,17553.62,1.3863014,506,34.69095
1009532903,1,89.76,1,0,19422,1,0,1009532903,14232.88,1.3643836,498,28.58008
1009532999,0,44.56,1,0,22787,2,0,1009532999,12024.84,0.8520548,311,38.66508
1009533534,0,23.85,4,0,18784,5,0,1009533534,9007.96,0.6136986,224,40.214108
1009533200,0,53.31,1,0,15564,2,0,1009533200,8352.45,0.56438357,206,40.545876
1009533426,1,63.93,2,75169,91911,2,0,1009533426,14494.82,0.6219178,227,63.853832
1009525902,0,70.56,1,0,28909,3,0,1009525902,10815.27,0.69863015,255,42.412823
1009532422,1,44.03,1,0,20022,5,0,1009532422,853.98,0.087671235,32,26.686874
1009533272,1,32.36,4,0,17553,1,0,1009533272,7744.52,0.63013697,230,33.671825
1009533329,0,58.57,1,0,22330,1,1,1009533329,15518.58,0.67671233,247,62.82826
1009533354,0,47.42,4,0,21729,2,0,1009533354,9106.3,0.6328767,231,39.42121
1009533387,0,67.29,1,0,18624,4,0,1009533387,6023,0.4520548,165,36.50303
1009534981,1,64.07,1,0,32998,5,0,1009534981,10926.06,0.82191783,300,36.4202
1009535341,0,29.93,4,7864,27388,3,1,1009535341,3966.15,0.35342467,129,30.745348
1009533347,0,68.48,1,0,32856,5,0,1009533347,2987.79,0.26575342,97,30.801958
1009533428,1,25.27,1,0,16043,5,0,1009533428,7385.93,0.44931507,164,45.03616
1009533473,1,25.59,1,0,18071,4,0,1009533473,3683.74,0.22739726,83,44.38241
1009533494,0,30.75,1,0,21221,0,1,1009533494,18592.01,0.63835615,233,79.79404
1009534945,1,20.59,1,0,31855,2,1,1009534945,1217.94,0.12054794,44,27.680454
1009532991,1,20.84,1,0,19156,2,1,1009532991,7463.21,0.6958904,254,29.382717
1009533440,0,53.37,1,0,26400,4,0,1009533440,10072.28,0.72602737,265,38.008602
1009533474,1,25.29,4,0,15003,1,0,1009533474,3697.67,0.23013699,84,44.019882
1009525923,1,47.21,4,0,13868,2,0,1009525923,8430.5,0.64931506,237,35.57173
1009526115,0,56.2,1,0,18199,1,0,1009526115,23266.66,0.6958904,254,91.60102
1009533033,0,48.55,1,0,16229,4,0,1009533033,6121.04,0.61917806,226,27.084248
1009535104,1,53.63,1,0,31390,0,0,1009535104,23183.22,0.6849315,250,92.73288
1009526004,0,54.7,4,0,18053,3,1,1009526004,7614.97,0.5287671,193,39.455803
1009527311,0,38.27,1,0,32993,0,1,1009527311,20065.58,1.4027398,512,39.190586
1009533191,0,74.08,4,0,18322,0,1,1009533191,8206.17,0.68767124,251,32.693905
1009533290,0,54.44,4,0,13340,2,0,1009533290,878.71,0.07945205,29,30.300344
1009533308,0,44.98,1,0,15796,2,0,1009533308,2108.51,0.15342465,56,37.651966
1009535152,0,46.07,4,0,19935,3,0,1009535152,2013.66,0.19726028,72,27.9675
1009551830,1,30.06,4,0,20592,2,0,1009551830,8939.62,0.6630137,242,36.94058
1009533039,0,30.54,1,0,20720,2,1,1009533039,4774.32,0.38630137,141,33.860424
1009533288,1,42.63,4,0,30916,0,1,1009533288,1906.38,0.16986302,62,30.748064
1009533381,0,38.23,4,0,14441,2,0,1009533381,16189.18,0.49863014,182,88.95154
1009551650,0,71.09,1,0,13415,5,0,1009551650,6646.01,0.65753424,240,27.691708
1009526040,0,37.99,4,0,36736,1,1,1009526040,13912.9,0.7123288,260,53.511154
1009527742,1,41.76,1,0,21228,2,0,1009527742,2788.14,0.29589042,108,25.81611
1009529770,0,29.67,1,0,16262,4,0,1009529770,17019.22,1.309589,478,35.605064
1009533060,0,85.53,1,0,37668,1,1,1009533060,1456.8,0.073972605,27,53.955555
1009533270,1,34.45,1,0,16479,1,0,1009533270,9341.16,0.72602737,265,35.24966
1009533282,0,38.45,1,0,13394,3,0,1009533282,7322.92,0.64657533,236,31.029322
1009533287,0,23.97,1,0,18615,2,0,1009533287,1877.5,0.16712329,61,30.778688
1009533488,1,42.53,1,0,15088,3,0,1009533488,8250.09,0.49863014,182,45.330166
1009535137,1,47.52,4,0,19196,3,0,1009535137,8880.74,0.63835615,233,38.114765
1009549280,0,26.63,1,0,32655,3,1,1009549280,8085.62,0.3780822,138,58.59145
1009525881,1,86.16,1,0,15385,2,0,1009525881,6555.77,0.6739726,246,26.649471
1009555320,1,42.9,1,0,22995,4,0,1009555320,2051.85,0.12328767,45,45.59667
1009525953,1,57.5,1,0,21237,1,0,1009525953,8575.81,0.63835615,233,36.806053
1009533218,1,38.42,1,0,13032,2,0,1009533218,10626.76,0.6410959,234,45.413506
1009533260,0,59.92,3,89977,186268,2,0,1009533260,8356.32,0.62739724,229,36.49048
1009534861,0,39.12,1,0,18123,1,1,1009534861,11227.44,0.65753424,240,46.781
1009534909,0,31.91,4,14170,26822,3,0,1009534909,6283.17,0.63013697,230,27.31813
1009532964,1,75.63,1,0,17638,2,1,1009532964,14099.44,0.43835616,160,88.1215
1009533357,1,53.41,1,0,19244,2,0,1009533357,8863.53,0.6739726,246,36.03061
1009534870,1,78.16,2,96443,224002,2,0,1009534870,1699.75,0.14520548,53,32.070755
1009535107,0,63.15,3,98252,217137,1,0,1009535107,3032.02,0.17260274,63,48.1273
1009526940,0,22.84,1,0,13929,1,1,1009526940,6733.31,0.65753424,240,28.055458
1009532910,0,65.28,4,6111,38245,4,0,1009532910,3422.14,0.31232876,114,30.018772
1009533081,1,38.45,1,0,19621,5,0,1009533081,7311.93,0.64657533,236,30.982754
1009533323,1,66.46,1,0,17916,0,0,1009533323,7331.08,0.690411,252,29.091587
1009535035,0,54.93,1,0,19058,5,0,1009535035,2156.53,0.10410959,38,56.75079
1009535227,0,59.6,4,0,18361,4,0,1009535227,2207.67,0.20547946,75,29.4356
1009535359,0,46.47,4,0,20630,3,0,1009535359,8191.68,0.6931507,253,32.37818
1009525851,0,47.58,1,0,29969,2,0,1009525851,8223.85,0.6657534,243,33.843002
1009526013,1,41.01,2,9466,42029,2,0,1009526013,8807.92,0.6547945,239,36.85322
1009527300,1,39.21,4,7823,44981,2,1,1009527300,16870.38,0.65753424,240,70.29325
1009533237,1,43.6,2,98406,133982,0,0,1009533237,3134.2,0.14520548,53,59.13585
1009533258,1,62.32,4,0,22262,1,0,1009533258,15793.32,0.70958906,259,60.97807
1009533383,0,44.07,4,0,21681,4,0,1009533383,14583.55,0.6410959,234,62.322865
1009534936,0,31.14,1,0,20168,2,1,1009534936,1118.22,0.06027397,22,50.828182
1009535308,1,50.85,1,0,21810,1,1,1009535308,3437.6,0.23835616,87,39.51264
1009548170,0,32.98,1,0,19669,1,1,1009548170,9762.53,0.7041096,257,37.9865
1009526082,1,34.51,4,0,15729,1,1,1009526082,9047.25,0.6657534,243,37.23148
1009533057,1,22.71,1,0,28777,1,0,1009533057,3577.92,0.20273973,74,48.35027
1009533201,1,73.89,4,0,16783,3,0,1009533201,8332.73,0.56164384,205,40.647465
1009533548,0,40.78,1,0,16239,4,0,1009533548,10788.03,0.63013697,230,46.90448
1009534978,0,43.82,1,0,21225,2,0,1009534978,8538.08,0.6438356,235,36.332256
1009535092,1,58.79,1,0,22380,2,0,1009535092,11309.84,0.6630137,242,46.734875
1009535419,1,29.66,1,0,19981,2,0,1009535419,10940.96,0.4849315,177,61.81333
1009526073,0,48.19,1,0,17195,2,0,1009526073,6098.74,0.19178082,70,87.124855
1009533243,1,79.39,4,0,16308,1,1,1009533243,4461.11,0.4328767,158,28.234873
